structure,coef,pvals,p_fdr
8-Pul,-0.34657553597046087,1.7206112781970626e-13,6.022139473689719e-13
9-LGN,-0.1685884130200878,0.001016628087934769,0.0015249421319021533
12-MD-Pf,-0.13041400863422903,0.00917395818221012,0.012843541455094167
2-AV,-0.11375187912919778,0.013121814235340555,0.016209299937773626
11-CM,-0.004115180513857607,0.9303394488267569,0.9303394488267569
28-Cla,0.06989163926871773,0.15204418795682437,0.1596463973546656
13-Hb,0.08138293753333962,0.09987932055498117,0.11039293324497919
7-VPL,0.11948168593032805,0.015365746498123167,0.017926704247810364
10-MGN,0.12344277079488533,0.012436048582180219,0.016209299937773626
26-Acc,0.22694323652287596,1.7666846116117714e-06,2.8538751418344e-06
34-Amy,0.28573027789414573,9.178280505191275e-10,1.606199088408473e-09
30-GPi,0.2994242398182472,3.108601365037168e-13,9.325804095111504e-13
31-Put,0.3082372134005861,3.759807221894424e-11,7.177813787252992e-11
32-RN,0.3094041841780057,2.8668890872191034e-11,6.020467083160117e-11
29-GPe,0.32178889443420466,9.868800260116313e-13,2.5905600682805322e-12
33-GP,0.32232327752263934,1.297768119206054e-13,5.450626100665427e-13
27-Cau,0.33803648065280245,3.4221416823769675e-12,7.984997258879592e-12
14-MTT,0.3550536456628458,9.417931615013772e-15,6.327763628288983e-14
6-VLP,0.3566613594186684,1.2052883101502824e-14,6.327763628288983e-14
5-VLa,0.415694267831665,2.999389106224591e-19,3.1493585615358204e-18
4-VA,0.4475104571400087,2.038429742447076e-22,4.2807024591388595e-21
