index,left_exposure,right_exposure
2,29.841613241550185,29.41421239015501
4,31.25686162542205,30.77706244448295
5,28.134157028324672,27.472183411323204
6,24.100853126260468,23.704842415473536
7,19.051801537375788,18.716599097762522
8,15.993481455464948,16.166713381410425
9,23.857793485177208,23.24831978182667
10,22.1943620420376,21.925338373414682
11,22.357869958249182,22.203539179233402
12,23.809070840281336,23.52926223528631
13,23.81366807397171,23.768768780836808
14,33.979452101300105,33.972999268178135
26,50.63826474149201,49.61126575407318
27,42.151041383854356,41.15232899688338
28,44.236891241167726,43.786634560580296
29,37.414376474521454,36.46547429092288
30,35.361772971106035,34.51092755589293
31,39.505711032728456,38.93765560137612
32,31.390105954589743,31.09823332942484
